iter	Passed	Remaining
0	117	352319
1	182	272943
2	240	240632
3	269	202105
4	296	177456
5	321	160622
6	335	143531
7	362	135394
8	382	126975
9	406	121666
10	435	118235
11	460	114544
12	480	110387
13	501	107015
14	525	104572
15	537	100155
16	563	98863
17	595	98631
18	627	98522
19	658	98145
20	684	97087
21	713	96567
22	735	95212
23	760	94279
24	810	96401
25	849	97220
26	891	98206
27	941	99960
28	1006	103088
29	1080	106930
30	1229	117774
31	1407	130520
32	1507	135528
33	1591	138808
34	1669	141461
35	1708	140703
36	1747	139940
37	1779	138727
38	1817	137989
39	1866	138155
40	1919	138543
41	1958	137966
42	2013	138469
43	2061	138472
44	2104	138227
45	2183	140248
46	2228	140047
47	2343	144130
48	2427	146178
49	2480	146330
50	2554	147697
51	2655	150547
52	2779	154557
53	2936	160181
54	3074	164645
55	3146	165425
56	3205	165514
57	3240	164383
58	3275	163298
59	3318	162620
60	3355	161683
61	3404	161308
62	3454	161043
63	3566	163626
64	3648	164736
65	3711	164984
66	3808	166729
67	3899	168126
68	3970	168656
69	4058	169894
70	4120	170004
71	4165	169385
72	4221	169268
73	4265	168656
74	4316	168325
75	4362	167851
76	4407	167330
77	4490	168238
78	4537	167788
79	4667	170361
80	4710	169751
81	4770	169751
82	4860	170820
83	4933	171253
84	5025	172336
85	5079	172118
86	5112	171177
87	5156	170635
88	5244	171546
89	5328	172303
90	5398	172569
91	5477	173136
92	5511	172289
93	5538	171214
94	5566	170225
95	5602	169466
96	5630	168514
97	5662	167666
98	5688	166682
99	5721	165922
100	5756	165232
101	5798	164755
102	5838	164211
103	5868	163411
104	5899	162659
105	5936	162074
106	5963	161247
107	5998	160616
108	6020	159668
109	6039	158678
110	6068	157933
111	6118	157763
112	6145	156998
113	6166	156104
114	6183	155133
115	6219	154639
116	6262	154318
117	6292	153691
118	6323	153093
119	6363	152731
120	6396	152183
121	6423	151525
122	6452	150917
123	6483	150369
124	6518	149930
125	6555	149527
126	6617	149696
127	6681	149917
128	6759	150444
129	6839	150987
130	6896	151044
131	6954	151091
132	7012	151169
133	7064	151085
134	7148	151700
135	7182	151256
136	7207	150618
137	7237	150102
138	7262	149477
139	7287	148865
140	7338	148807
141	7380	148547
142	7411	148073
143	7472	148200
144	7561	148876
145	7630	149155
146	7683	149125
147	7752	149389
148	7860	150395
149	7954	151128
150	8096	152766
151	8168	153047
152	8287	154204
153	8343	154201
154	8469	155457
155	8573	156307
156	8681	157199
157	8739	157195
158	8851	158160
159	8977	159346
160	9051	159613
161	9150	160311
162	9242	160870
163	9340	161520
164	9384	161247
165	9462	161539
166	9524	161573
167	9623	162220
168	9705	162584
169	9742	162183
170	9798	162106
171	9855	162042
172	9895	161710
173	9933	161332
174	9969	160928
175	10000	160461
176	10095	161016
177	10127	160555
178	10155	160052
179	10181	159507
180	10208	158998
181	10233	158448
182	10263	157990
183	10300	157642
184	10327	157146
185	10364	156798
186	10393	156341
187	10422	155888
188	10444	155334
189	10467	154802
190	10513	154619
191	10537	154117
192	10573	153778
193	10601	153340
194	10626	152854
195	10648	152341
196	10670	151828
197	10696	151370
198	10729	151018
199	10753	150547
200	10780	150120
201	10807	149697
202	10829	149213
203	10857	148811
204	10880	148341
205	10901	147864
206	10931	147493
207	10958	147095
208	10981	146647
209	11003	146191
210	11019	145650
211	11037	145151
212	11056	144672
213	11079	144236
214	11101	143803
215	11121	143344
216	11140	142869
217	11157	142383
218	11176	141930
219	11196	141477
220	11212	140998
221	11231	140540
222	11255	140167
223	11276	139743
224	11297	139341
225	11315	138892
226	11335	138475
227	11354	138049
228	11371	137596
229	11387	137147
230	11405	136720
231	11429	136363
232	11453	136018
233	11486	135781
234	11517	135512
235	11537	135125
236	11560	134771
237	11580	134396
238	11602	134035
239	11622	133662
240	11639	133252
241	11662	132909
242	11679	132514
243	11699	132151
244	11720	131794
245	11741	131451
246	11761	131085
247	11780	130724
248	11804	130418
249	11824	130068
250	11845	129733
251	11865	129390
252	11885	129049
253	11908	128740
254	11928	128406
255	11950	128095
256	11971	127769
257	12004	127587
258	12030	127323
259	12049	126979
260	12067	126635
261	12083	126276
262	12105	125975
263	12122	125634
264	12141	125311
265	12166	125048
266	12186	124740
267	12205	124427
268	12227	124136
269	12250	123862
270	12269	123556
271	12293	123297
272	12313	123002
273	12333	122709
274	12351	122394
275	12376	122148
276	12397	121871
277	12424	121652
278	12446	121386
279	12473	121172
280	12490	120859
281	12513	120604
282	12535	120348
283	12562	120144
284	12583	119872
285	12600	119572
286	12621	119309
287	12642	119049
288	12665	118806
289	12687	118559
290	12707	118298
291	12730	118064
292	12748	117780
293	12770	117538
294	12792	117304
295	12814	117062
296	12831	116777
297	12854	116553
298	12874	116304
299	12899	116094
300	12924	115886
301	12944	115643
302	12967	115419
303	12986	115172
304	13002	114891
305	13019	114623
306	13036	114352
307	13056	114113
308	13077	113885
309	13099	113668
310	13116	113408
311	13136	113176
312	13155	112938
313	13172	112683
314	13190	112434
315	13209	112193
316	13225	111937
317	13244	111707
318	13262	111463
319	13279	111212
320	13297	110974
321	13312	110719
322	13329	110471
323	13348	110251
324	13367	110021
325	13389	109829
326	13404	109575
327	13427	109382
328	13453	109225
329	13474	109019
330	13499	108854
331	13519	108645
332	13539	108437
333	13564	108271
334	13591	108119
335	13613	107933
336	13635	107747
337	13655	107549
338	13680	107382
339	13703	107211
340	13725	107029
341	13748	106851
342	13773	106693
343	13793	106501
344	13812	106298
345	13834	106120
346	13857	105944
347	13879	105771
348	13901	105593
349	13923	105418
350	13945	105243
351	13966	105065
352	13987	104886
353	14008	104703
354	14024	104491
355	14074	104527
356	14111	104471
357	14137	104336
358	14158	104158
359	14179	103985
360	14199	103804
361	14216	103599
362	14233	103398
363	14255	103236
364	14275	103057
365	14297	102896
366	14316	102713
367	14336	102540
368	14359	102381
369	14377	102194
370	14395	102009
371	14413	101823
372	14433	101656
373	14459	101527
374	14500	101502
375	14526	101378
376	14550	101239
377	14578	101121
378	14603	100989
379	14622	100820
380	14645	100672
381	14667	100523
382	14688	100362
383	14706	100190
384	14726	100026
385	14745	99855
386	14768	99714
387	14786	99540
388	14807	99387
389	14823	99202
390	14843	99043
391	14862	98880
392	14879	98703
393	14898	98541
394	14914	98358
395	14931	98188
396	14953	98044
397	14978	97921
398	14996	97755
399	15022	97645
400	15043	97498
401	15061	97336
402	15080	97178
403	15097	97015
404	15115	96849
405	15131	96675
406	15148	96513
407	15166	96350
408	15189	96223
409	15208	96074
410	15229	95932
411	15251	95800
412	15273	95671
413	15295	95543
414	15313	95388
415	15332	95241
416	15357	95125
417	15374	94966
418	15392	94817
419	15408	94654
420	15428	94510
421	15453	94406
422	15481	94314
423	15504	94200
424	15529	94089
425	15552	93969
426	15576	93861
427	15596	93727
428	15616	93591
429	15637	93462
430	15655	93317
431	15678	93199
432	15695	93048
433	15718	92935
434	15742	92825
435	15761	92692
436	15786	92584
437	15813	92498
438	15837	92391
439	15865	92306
440	15886	92185
441	15907	92061
442	15931	91959
443	15953	91840
444	15974	91718
445	15994	91591
446	16011	91451
447	16030	91319
448	16051	91196
449	16073	91085
450	16090	90942
451	16106	90796
452	16125	90667
453	16146	90548
454	16168	90436
455	16189	90321
456	16208	90193
457	16224	90051
458	16244	89928
459	16261	89793
460	16281	89671
461	16299	89542
462	16316	89404
463	16332	89263
464	16349	89133
465	16368	89007
466	16383	88865
467	16400	88730
468	16417	88598
469	16434	88466
470	16452	88340
471	16475	88242
472	16497	88137
473	16530	88092
474	16554	87997
475	16582	87927
476	16603	87821
477	16622	87705
478	16648	87620
479	16670	87520
480	16692	87419
481	16714	87319
482	16732	87196
483	16749	87072
484	16766	86941
485	16786	86834
486	16820	86795
487	16845	86713
488	16867	86613
489	16888	86512
490	16914	86432
491	16939	86351
492	16962	86257
493	16983	86154
494	17005	86055
495	17024	85945
496	17042	85832
497	17068	85755
498	17090	85660
499	17110	85551
500	17126	85425
501	17145	85317
502	17163	85204
503	17180	85085
504	17197	84965
505	17214	84846
506	17233	84741
507	17258	84663
508	17274	84542
509	17292	84427
510	17312	84327
511	17332	84224
512	17348	84105
513	17364	83986
514	17383	83879
515	17406	83792
516	17435	83739
517	17460	83660
518	17479	83559
519	17500	83464
520	17525	83389
521	17547	83301
522	17570	83214
523	17593	83134
524	17618	83060
525	17649	83012
526	17669	82915
527	17694	82843
528	17714	82743
529	17738	82666
530	17760	82581
531	17782	82495
532	17805	82413
533	17825	82318
534	17847	82232
535	17864	82123
536	17887	82044
537	17916	81987
538	17938	81904
539	17959	81815
540	17979	81720
541	17996	81614
542	18016	81520
543	18036	81430
544	18060	81354
545	18083	81276
546	18102	81180
547	18136	81151
548	18158	81066
549	18183	81000
550	18208	80928
551	18231	80854
552	18250	80759
553	18272	80674
554	18290	80576
555	18308	80480
556	18326	80379
557	18346	80291
558	18370	80219
559	18388	80120
560	18410	80042
561	18436	79978
562	18459	79903
563	18487	79848
564	18503	79747
565	18522	79651
566	18539	79555
567	18556	79453
568	18575	79363
569	18592	79263
570	18611	79172
571	18632	79091
572	18649	78991
573	18669	78905
574	18690	78825
575	18713	78752
576	18735	78676
577	18754	78588
578	18770	78487
579	18788	78392
580	18813	78329
581	18834	78249
582	18858	78184
583	18883	78119
584	18904	78040
585	18927	77969
586	18951	77906
587	18972	77825
588	18996	77759
589	19015	77673
590	19034	77585
591	19053	77503
592	19069	77404
593	19089	77323
594	19106	77229
595	19125	77143
596	19143	77053
597	19161	76965
598	19178	76873
599	19194	76776
600	19213	76695
601	19237	76630
602	19255	76543
603	19274	76458
604	19299	76400
605	19324	76340
606	19344	76262
607	19365	76187
608	19388	76120
609	19410	76050
610	19426	75957
611	19443	75868
612	19466	75802
613	19485	75718
614	19505	75641
615	19526	75568
616	19546	75493
617	19568	75422
618	19585	75337
619	19604	75256
620	19633	75214
621	19658	75158
622	19681	75093
623	19699	75010
624	19722	74945
625	19752	74907
626	19775	74843
627	19797	74775
628	19818	74706
629	19842	74646
630	19862	74569
631	19883	74499
632	19903	74425
633	19922	74348
634	19939	74263
635	19962	74198
636	19980	74120
637	20005	74062
638	20037	74033
639	20060	73973
640	20083	73910
641	20106	73848
642	20127	73781
643	20147	73707
644	20168	73636
645	20190	73573
646	20214	73517
647	20235	73448
648	20256	73380
649	20278	73316
650	20301	73252
651	20321	73182
652	20341	73110
653	20360	73036
654	20378	72957
655	20399	72890
656	20417	72814
657	20444	72766
658	20477	72744
659	20509	72716
660	20546	72704
661	20580	72685
662	20602	72621
663	20627	72567
664	20654	72524
665	20679	72471
666	20710	72438
667	20739	72403
668	20761	72339
669	20780	72267
670	20801	72199
671	20824	72142
672	20843	72071
673	20865	72008
674	20885	71938
675	20904	71865
676	20924	71799
677	20940	71717
678	20956	71634
679	20980	71579
680	20998	71506
681	21016	71432
682	21035	71360
683	21052	71283
684	21071	71213
685	21094	71153
686	21114	71087
687	21131	71013
688	21149	70937
689	21167	70864
690	21183	70784
691	21203	70719
692	21220	70643
693	21241	70579
694	21259	70507
695	21276	70431
696	21291	70351
697	21316	70301
698	21337	70239
699	21358	70178
700	21374	70100
701	21393	70031
702	21413	69965
703	21434	69905
704	21451	69831
705	21477	69786
706	21499	69727
707	21519	69666
708	21547	69625
709	21573	69582
710	21594	69522
711	21617	69466
712	21642	69420
713	21658	69342
714	21678	69280
715	21695	69205
716	21722	69165
717	21740	69097
718	21763	69044
719	21782	68977
720	21805	68924
721	21825	68863
722	21847	68806
723	21873	68762
724	21893	68700
725	21916	68648
726	21935	68583
727	21956	68524
728	21977	68465
729	21998	68404
730	22018	68343
731	22040	68288
732	22062	68232
733	22077	68157
734	22099	68101
735	22119	68040
736	22137	67975
737	22160	67921
738	22180	67860
739	22200	67801
740	22219	67737
741	22237	67672
742	22252	67597
743	22269	67526
744	22292	67476
745	22310	67410
746	22328	67344
747	22351	67292
748	22373	67240
749	22398	67194
750	22422	67147
751	22442	67088
752	22462	67029
753	22485	66979
754	22507	66926
755	22532	66883
756	22565	66860
757	22592	66823
758	22615	66773
759	22636	66718
760	22656	66660
761	22677	66603
762	22699	66550
763	22721	66498
764	22743	66447
765	22763	66387
766	22785	66335
767	22806	66281
768	22830	66234
769	22847	66167
770	22865	66104
771	22891	66064
772	22910	66004
773	22931	65948
774	22954	65900
775	22977	65851
776	23001	65808
777	23022	65751
778	23041	65693
779	23062	65639
780	23078	65570
781	23095	65506
782	23121	65465
783	23144	65417
784	23163	65360
785	23180	65295
786	23199	65236
787	23216	65170
788	23233	65106
789	23256	65058
790	23272	64991
791	23296	64947
792	23321	64905
793	23342	64852
794	23363	64800
795	23384	64747
796	23405	64696
797	23425	64641
798	23445	64584
799	23464	64528
800	23484	64472
801	23502	64411
802	23522	64357
803	23541	64300
804	23559	64239
805	23577	64180
806	23608	64155
807	23642	64138
808	23661	64082
809	23684	64035
810	23703	63978
811	23725	63928
812	23741	63866
813	23760	63807
814	23777	63747
815	23798	63695
816	23815	63633
817	23831	63571
818	23848	63509
819	23869	63457
820	23889	63404
821	23909	63351
822	23933	63309
823	23952	63252
824	23973	63201
825	23991	63144
826	24020	63115
827	24043	63070
828	24069	63034
829	24096	62999
830	24113	62938
831	24133	62886
832	24156	62842
833	24174	62784
834	24200	62746
835	24218	62690
836	24236	62632
837	24261	62593
838	24282	62543
839	24296	62477
840	24312	62414
841	24336	62373
842	24357	62323
843	24379	62276
844	24402	62233
845	24428	62196
846	24452	62156
847	24475	62112
848	24495	62061
849	24518	62017
850	24540	61971
851	24565	61931
852	24585	61882
853	24604	61828
854	24627	61785
855	24667	61782
856	24685	61727
857	24702	61668
858	24723	61621
859	24740	61563
860	24757	61506
861	24775	61450
862	24795	61400
863	24812	61342
864	24834	61295
865	24853	61243
866	24879	61208
867	24900	61160
868	24920	61112
869	24941	61063
870	24959	61008
871	24976	60952
872	25001	60914
873	25022	60867
874	25041	60815
875	25064	60773
876	25081	60716
877	25102	60668
878	25119	60611
879	25141	60568
880	25161	60517
881	25188	60486
882	25210	60443
883	25233	60401
884	25258	60362
885	25276	60308
886	25295	60258
887	25315	60209
888	25337	60165
889	25363	60130
890	25388	60094
891	25410	60050
892	25433	60008
893	25454	59963
894	25484	59938
895	25504	59890
896	25529	59854
897	25551	59809
