iter	Logloss
0	0.6760618668
1	0.6654025737
2	0.6584303197
3	0.6541759038
4	0.6436354204
5	0.6388727735
6	0.637301916
7	0.6264578783
8	0.6244807457
9	0.623704285
10	0.6230150342
11	0.6160270623
12	0.612253256
13	0.6082900557
14	0.6081169863
15	0.6076467332
16	0.6047258308
17	0.6031642127
18	0.600477019
19	0.5999896526
20	0.5955023587
21	0.5939729498
22	0.5920751314
23	0.5905884965
24	0.5900346682
25	0.5896307798
26	0.5889826707
27	0.5875561257
28	0.5855291102
29	0.5847346668
30	0.5835137697
31	0.5812249643
32	0.5777684117
33	0.5742759975
34	0.5725590324
35	0.5702313475
36	0.569909536
37	0.5692880074
38	0.5690428255
39	0.5686931633
40	0.5670921649
41	0.566110321
42	0.5648615643
43	0.564844435
44	0.5639249441
45	0.5637373851
46	0.562978576
47	0.5628620771
48	0.5627034999
49	0.5622594783
50	0.5620330916
51	0.5618903977
52	0.5616275918
53	0.5613689768
54	0.5607813548
55	0.560671225
56	0.5600449384
57	0.559941782
58	0.55985343
59	0.5591006995
60	0.5589679051
61	0.5585813869
62	0.5583232433
63	0.5579133166
64	0.5577493954
65	0.5577493894
66	0.557278652
67	0.5570282112
68	0.556923851
69	0.5567723486
70	0.5566359705
71	0.5562692618
72	0.5561386465
73	0.5560990805
74	0.5559660001
75	0.5558608166
76	0.5556194951
77	0.5555120545
78	0.5553269531
79	0.5552326358
80	0.5550218121
81	0.5546635045
82	0.5545597846
83	0.5543109012
84	0.5540712332
85	0.5537436107
86	0.5535840821
87	0.5535014271
88	0.5533091552
89	0.5532149939
90	0.5529255518
91	0.5526824449
92	0.5525769772
93	0.5520457111
94	0.5515056913
95	0.5512002431
96	0.5510737221
97	0.5508396837
98	0.5507515023
99	0.5501584919
100	0.5496620044
101	0.5495499838
102	0.5493438382
103	0.5492226424
104	0.5488771589
105	0.5488456676
106	0.5484966694
107	0.5483186479
108	0.5476753516
109	0.5474718287
110	0.5471319966
111	0.5468918163
112	0.5468211981
113	0.5466096973
114	0.5464921164
115	0.546309577
116	0.5461937837
117	0.5460928356
118	0.5457470623
119	0.5455812957
120	0.5454632824
121	0.5453394373
122	0.5451237491
123	0.5445262331
124	0.5441020272
125	0.5439949806
126	0.5438334336
127	0.5437018293
128	0.5435628323
129	0.5434347874
130	0.5429099467
131	0.5426849065
132	0.5424910602
133	0.5421938265
134	0.5420284242
135	0.5418855278
136	0.5416304264
137	0.5414113141
138	0.5409868882
139	0.5408680068
140	0.5405281122
141	0.540232005
142	0.5399494724
143	0.5397212277
144	0.5395215895
145	0.5393639806
146	0.5390569257
147	0.5388961954
148	0.5387725737
149	0.5385818853
150	0.538442411
151	0.5382780974
152	0.5379960134
153	0.5379144465
154	0.5377619763
155	0.5375809493
156	0.5374311075
157	0.5372998478
158	0.5371085962
159	0.5369004608
160	0.5367773427
161	0.5366156751
162	0.5363439545
163	0.5360975519
164	0.5360413375
165	0.5358695134
166	0.5357255192
167	0.5356369286
168	0.5355780203
169	0.5353461779
170	0.5351895359
171	0.5351321115
172	0.5350317288
173	0.5348973909
174	0.534775911
175	0.5345729929
176	0.5345058715
177	0.5344521157
178	0.5342567938
179	0.5341161769
180	0.5339255315
181	0.5337794598
182	0.5335744406
183	0.5333475404
184	0.533222113
185	0.5331729595
186	0.532882112
187	0.5327654472
188	0.5326681074
189	0.5325498969
190	0.5324521459
191	0.5323344725
192	0.5322039927
193	0.5320455855
194	0.5318973306
195	0.5316949521
196	0.5316188271
197	0.531414041
198	0.5313527386
199	0.5312684944
200	0.5311898238
201	0.5310747237
202	0.5309684117
203	0.5308006058
204	0.5306014296
205	0.5304548932
206	0.5303760543
207	0.5302463941
208	0.5299901623
209	0.5298183026
210	0.5297050669
211	0.5293641867
