iter	Passed	Remaining
0	83	251079
1	105	157638
2	129	129167
3	148	111288
4	178	107162
5	206	102954
6	229	98145
7	255	95699
8	279	92768
9	305	91271
10	329	89482
11	353	88107
12	373	85873
13	391	83434
14	401	79864
15	423	79060
16	439	77156
17	471	78055
18	502	78789
19	542	80823
20	571	81067
21	599	81126
22	619	80214
23	636	78880
24	660	78646
25	682	78012
26	702	77346
27	723	76832
28	748	76733
29	769	76187
30	789	75577
31	812	75366
32	830	74671
33	849	74089
34	867	73467
35	883	72743
36	900	72134
37	925	72169
38	947	71922
39	969	71756
40	993	71718
41	1019	71802
42	1038	71387
43	1047	70404
44	1071	70332
45	1093	70211
46	1111	69810
47	1129	69455
48	1150	69259
49	1174	69323
50	1199	69332
51	1215	68917
52	1245	69229
53	1270	69301
54	1301	69689
55	1329	69901
56	1351	69758
57	1374	69696
58	1400	69790
59	1426	69911
60	1456	70190
61	1479	70113
62	1498	69859
63	1518	69671
64	1546	69825
65	1554	69125
66	1578	69085
67	1609	69408
68	1628	69177
69	1648	68995
70	1667	68798
71	1695	68945
72	1717	68862
73	1729	68376
74	1751	68301
75	1771	68137
76	1793	68074
77	1811	67879
78	1840	68053
79	1863	68033
80	1883	67857
81	1905	67799
82	1925	67659
83	1944	67508
84	1961	67279
85	1981	67126
86	2001	67016
87	2022	66935
88	2039	66720
89	2070	66956
90	2095	66974
91	2119	66989
92	2141	66952
93	2162	66849
94	2184	66810
95	2203	66668
96	2222	66505
97	2243	66434
98	2259	66200
99	2276	66013
100	2293	65838
101	2310	65657
102	2330	65540
103	2349	65431
104	2367	65270
105	2385	65118
106	2400	64912
107	2418	64761
108	2435	64588
109	2453	64447
110	2471	64333
111	2488	64163
112	2511	64162
113	2530	64056
114	2553	64064
115	2577	64085
116	2599	64061
117	2628	64195
118	2652	64215
119	2674	64198
120	2699	64236
121	2724	64273
122	2747	64255
123	2770	64260
124	2793	64242
125	2812	64152
126	2839	64224
127	2861	64203
128	2879	64091
129	2898	63994
130	2920	63956
131	2941	63917
132	2962	63867
133	2982	63782
134	3006	63797
135	3026	63738
136	3043	63611
137	3066	63592
138	3082	63453
139	3113	63604
140	3131	63493
141	3154	63491
142	3176	63467
143	3194	63367
144	3219	63381
145	3242	63375
146	3261	63301
147	3279	63201
148	3298	63107
149	3317	63029
150	3334	62915
151	3353	62831
152	3370	62712
153	3392	62694
154	3413	62660
155	3436	62652
156	3472	62885
157	3493	62843
158	3513	62781
159	3539	62822
160	3559	62771
161	3581	62743
162	3602	62702
163	3622	62638
164	3643	62598
165	3669	62653
166	3691	62621
167	3714	62613
168	3754	62887
169	3794	63164
170	3827	63318
171	3855	63386
172	3913	63945
173	3954	64227
174	3994	64485
175	4036	64764
176	4060	64763
177	4087	64798
178	4115	64861
179	4141	64888
180	4170	64955
181	4193	64930
182	4228	65093
183	4261	65222
184	4288	65251
185	4317	65322
186	4344	65352
187	4382	65555
188	4406	65533
189	4435	65604
190	4471	65764
191	4500	65820
192	4523	65793
193	4550	65815
194	4573	65781
195	4600	65811
196	4645	66098
197	4678	66207
198	4703	66209
199	4735	66301
200	4766	66381
201	4801	66513
202	4838	66661
203	4865	66685
204	4891	66691
205	4918	66705
206	4946	66747
207	4976	66801
208	5003	66818
209	5030	66839
210	5060	66889
211	5086	66889
212	5109	66849
213	5131	66803
214	5161	66859
215	5185	66840
216	5207	66791
217	5242	66896
218	5271	66936
219	5294	66898
220	5325	66969
221	5351	66964
222	5375	66944
223	5405	66989
224	5432	66994
225	5463	67061
226	5488	67049
227	5535	67296
228	5559	67270
229	5585	67268
230	5620	67372
231	5660	67538
232	5700	67699
233	5728	67717
234	5752	67685
235	5778	67674
236	5805	67682
237	5838	67754
238	5865	67754
239	5892	67763
240	5913	67702
241	5945	67759
242	5968	67717
243	5991	67673
244	6013	67622
245	6040	67627
246	6064	67590
247	6085	67528
248	6115	67563
249	6143	67582
250	6167	67549
251	6190	67507
252	6218	67514
253	6245	67514
254	6281	67618
255	6323	67774
256	6348	67756
257	6370	67700
258	6391	67642
259	6413	67587
260	6431	67490
261	6455	67464
262	6478	67417
263	6498	67351
264	6521	67303
265	6549	67312
266	6566	67214
267	6585	67130
268	6604	67053
269	6625	66986
270	6645	66925
271	6663	66832
272	6687	66800
273	6704	66703
274	6720	66593
275	6735	66477
276	6752	66379
277	6774	66333
278	6793	66256
279	6814	66201
280	6838	66171
281	6859	66116
282	6882	66080
283	6903	66021
284	6931	66033
285	6955	66005
286	6975	65935
287	6991	65836
288	7010	65760
289	7032	65716
290	7051	65648
291	7074	65610
292	7098	65578
293	7121	65549
294	7145	65520
295	7165	65458
296	7186	65405
297	7207	65346
298	7226	65276
299	7249	65242
300	7270	65189
301	7294	65168
302	7320	65162
303	7344	65135
304	7364	65077
305	7382	64994
306	7398	64898
307	7416	64817
308	7439	64784
309	7456	64705
310	7474	64627
311	7497	64597
312	7519	64554
313	7548	64567
314	7576	64579
315	7600	64556
316	7621	64509
317	7644	64470
318	7668	64447
319	7694	64439
320	7716	64404
321	7742	64393
322	7762	64337
323	7788	64324
324	7808	64270
325	7835	64266
326	7852	64188
327	7871	64126
328	7893	64085
329	7911	64007
330	7932	63961
331	7952	63905
332	7974	63869
333	7998	63844
334	8020	63804
335	8038	63733
336	8054	63646
337	8073	63581
338	8096	63552
339	8113	63473
340	8131	63402
341	8150	63341
342	8171	63297
343	8191	63242
344	8211	63192
345	8234	63164
346	8252	63092
347	8273	63048
348	8291	62979
349	8310	62921
350	8327	62843
351	8351	62823
352	8370	62768
353	8390	62718
354	8411	62672
355	8440	62688
356	8465	62675
357	8490	62658
358	8511	62613
359	8535	62594
360	8563	62598
361	8589	62595
362	8611	62555
363	8637	62547
364	8658	62509
365	8675	62432
366	8692	62362
367	8709	62291
368	8726	62218
369	8747	62175
370	8764	62110
371	8787	62076
372	8813	62074
373	8838	62060
374	8862	62039
375	8886	62015
376	8919	62058
377	8941	62021
378	8962	61979
379	8987	61964
380	9009	61929
381	9032	61903
382	9056	61884
383	9080	61861
384	9102	61829
385	9121	61771
386	9144	61740
387	9165	61704
388	9186	61660
389	9210	61639
390	9235	61622
391	9253	61564
392	9272	61509
393	9296	61489
394	9315	61438
395	9334	61379
396	9358	61361
397	9379	61319
398	9401	61283
399	9425	61263
400	9445	61218
401	9466	61177
402	9491	61164
403	9509	61108
404	9528	61056
405	9547	61001
406	9568	60962
407	9586	60901
408	9609	60873
409	9630	60837
410	9658	60842
411	9684	60835
412	9710	60826
413	9734	60807
414	9757	60781
415	9777	60732
416	9798	60691
